Reactant1_SMILES,Reactant2_SMILES,Product1_SMILES,Product2_SMILES,INCHI_KEY,SMILES,AG_Rule Systemic,AG_Rule Leaf,MW,logP,exactMolWeight,fractionCSP3,ringCount,Number of aromatic rings,HBD,HBA,Heavy atoms,TPSA,Flexibility,Rotatable Bonds,numHeteroatoms,numSaturatedHeterocycles,numRadicalElectrons,numAromaticHeterocycles,noCount,numAliphaticRings,numValenceElectrons,heavyAtomMolWeight,numSaturatedRings,numAliphaticHeterocycles,nhohCount,SIMILAR,IDENTICAL
CC(C)(C)OC(=O)N1C=C(B2OC(C)(C)C(C)(C)O2)CC1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(C2=CN(C(=O)OC(C)(C)C)CC2)cc1C,,DJDGXVUINDCNNW-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(C2=CN(C(=O)OC(C)(C)C)CC2)cc1C,0.0,0.4,478.61,4.15,478.21,0.5833,3,1,0,8,33,93.22,8,4,9,1,0,0,8,2,182,444.34,1,2,0,,
C#Cc1c(C)c(CB2OC(C)(C)C(C)(C)O2)c(C)c(C(=O)O)c1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,C#Cc1c(C)c(Cc2cc(C)c(N3C(C)(C(=O)OCC)CCS3(=O)=O)c(C)c2)c(C)c(C(=O)O)c1C,,BGDMSNPQXWXFDS-UHFFFAOYSA-N,C#Cc1c(C)c(Cc2cc(C)c(N3C(C)(C(=O)OCC)CCS3(=O)=O)c(C)c2)c(C)c(C(=O)O)c1C,0.0,0.0,511.64,4.36,511.2,0.4286,3,2,1,7,36,100.98,7,6,8,1,0,0,7,1,192,478.38,1,1,1,CSDM979627,
CC1(C)OB(c2cc(Cl)cnc2N)OC1(C)C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(Cl)cnc2N)cc1C,,DJNWOPIMVZXIPJ-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(Cl)cnc2N)cc1C,0.02,1.0,437.95,3.46,437.12,0.4,3,2,2,7,29,102.59,5,4,9,1,0,1,7,1,156,413.76,1,1,2,CSDM982174|CSDK485015|CSDK483662|CSDK464512|CSDM981904|CSDK496394|CSDM981903|CSDM982128|CSDM982129|CSDK488060|CSDM982154|CSDM982146|CSDM309663,
CN(C)CCOc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OCCN(C)C)cc2)cc1C,,DCSUQHNNNVRCEC-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OCCN(C)C)cc2)cc1C,0.0,0.38,474.62,3.77,474.22,0.48,3,2,0,7,33,76.15,9,8,8,1,0,0,7,1,180,440.35,1,1,0,CSDM979629,
CC(=O)OCC#CCNc1cc2c(cc1F)COB2O,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(NCC#CCOC(C)=O)c(F)cc2C)cc1C,,FDYDNGNVZKSDTH-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(NCC#CCOC(C)=O)c(F)cc2C)cc1C,0.0,0.0,544.65,4.26,544.2,0.4286,3,2,1,8,38,102.01,9,7,10,1,0,0,8,1,204,511.38,1,1,1,,
CC1(C)OB(/C=C/c2cccc(N)c2)OC1(C)C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(C=Cc2cccc(N)c2)cc1C,,BVYRNEMQTUAGSA-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(C=Cc2cccc(N)c2)cc1C,0.0,1.0,428.55,3.92,428.18,0.3478,3,2,2,6,30,89.7,6,5,7,1,0,0,6,1,160,400.33,1,1,2,CSDM979668|CSDK476558|CSDK476557|CSDK428121|CSDM982171|CSDK495585|CSDM979628,
CCn1nncc1B1OC(C)(C)C(C)(C)O1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cnnn2CC)cc1C,,DSBFQFVLUYLUOI-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cnnn2CC)cc1C,0.55,0.44,406.51,2.44,406.17,0.5263,3,2,0,8,28,94.39,6,5,9,1,0,1,8,1,152,380.3,1,1,0,CSDK490890|CSDM982163|CSDK498025|CSDM982166,
Cc1noc2ncc(B3OC(C)(C)C(C)(C)O3)cc12,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cnc3onc(C)c3c2)cc1C,,BVGLYCHEYXTZMN-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cnc3onc(C)c3c2)cc1C,0.0,0.8,443.53,3.68,443.15,0.4091,4,3,0,8,31,102.6,5,4,9,1,0,2,8,1,164,418.33,1,1,0,,
OB(O)c1cnn(Cc2ccccc2)c1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cnn(Cc3ccccc3)c2)cc1C,,BXXSOEVGKDHJDO-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cnn(Cc3ccccc3)c2)cc1C,0.0,0.4,467.59,4.08,467.19,0.36,4,3,0,7,33,81.5,7,6,8,1,0,1,7,1,174,438.36,1,1,0,,
CC1(C)OB(c2cnn(Cc3ccccc3)c2)OC1(C)C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cnn(Cc3ccccc3)c2)cc1C,,BXXSOEVGKDHJDO-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cnn(Cc3ccccc3)c2)cc1C,0.0,0.4,467.59,4.08,467.19,0.36,4,3,0,7,33,81.5,7,6,8,1,0,1,7,1,174,438.36,1,1,0,,
